id,name,author_name,inventory_status,short_description,original_price,discount,price,discount_rate,rating_average,review_count,quantity_sold,type_book,book_cover
25904858,Làm Kế Toán Không Khó Giỏi Kế Toán Chỉ Trong 20 Ngày ( Kế toán trong doanh nghiệp Thương Mại),,available,"Làm Kế Toán Không Khó - Kế Toán Trong Doanh Nghiệp Thương Mại
Cuốn Làm Kế Toán Không Khó - Kế Toán Trong Doanh Nghiệp Thương Mại được biên soạn để giúp các bạn có thêm hiểu biết, kinh nghiệm và tự...",495000,45000,450000,9,5.0,9,"{'text': 'Đã bán 82', 'value': 82}",sach_giao_khoa_giao_trinh,Bìa mềm
25909073,"Làm Kế Toán Không Khó - Kế Toán Trong Doanh Nghiệp Xây Dựng, Xây Lắp",,available,"Làm Kế Toán Không Khó - Kế Toán Trong Doanh Nghiệp Xây Dựng, Xây Lắp
Cuốn Làm Kế Toán Không Khó - Kế Toán Trong Doanh Nghiệp Xây Dựng, Xây Lắp được biên soạn để giúp các bạn có thêm hiểu biết, kinh...",495000,45000,450000,9,4.5,12,"{'text': 'Đã bán 81', 'value': 81}",sach_giao_khoa_giao_trinh,Bìa mềm
173718231,Combo 2 Cuốn Luyện viết Lớp 1 - Chương trình SGK Cánh diều,,available,"Combo 2 cuốn vở luyện viết với các bài tập viết được lựa chọn bám sát theo chương trình sách giáo khoa Tiếng Việt 1 mới xuất bản năm 2022.
Cấu trúc từng bài viết đều có mẫu chữ hướng dẫn tập viết,...",60000,18000,42000,30,5.0,2,"{'text': 'Đã bán 23', 'value': 23}",sach_giao_khoa_giao_trinh,Bìa mềm
1325399,Giáo Trình C++ Và Lập Trình Hướng Đối Tượng,Phạm Văn Ất,available,"
    
        Giáo Trình C++ Và Lập Trình Hướng Đối Tượng
    


    Lập trình cấu trúc là phương pháp tổ chức, phân chia chương trình thành các hàm, thủ tục. Chúng được dùng để xử lý dữ liệu
   ...",145000,40600,104400,28,5.0,1,"{'text': 'Đã bán 8', 'value': 8}",sach_giao_khoa_giao_trinh,Bìa mềm
178093128,Sách Giáo Khoa Bộ Lớp 11 - Sách Bài Học (Bộ 14 Cuốn) (2022),Bộ Giáo Dục Và Đào Tạo,available,"
 
 
  Sách Giáo Khoa Bộ Lớp 11 - Sách Bài Học (Bộ 14 Cuốn) (2022) 
  Bao Gồm: 
   
    
     
     STT 
     Tên sản phẩm 
     
     
     1 
     Giáo dục Quốc phòng - An ninh 11 
     
     
    ...",169000,0,169000,0,5.0,101,"{'text': 'Đã bán 510', 'value': 510}",sach_giao_khoa_giao_trinh,
178093104,Sách Giáo Khoa Bộ Lớp 12 - Sách Bài Học (Bộ 14 Cuốn) (2022),Bộ Giáo Dục Và Đào Tạo,available,"
 
 
  Sách Giáo Khoa Bộ Lớp 12 - Sách Bài Học (Bộ 14 Cuốn) (2022) 
  Bao Gồm: 
   
    
     
     STT 
     Tên sản phẩm 
     
     
     1 
     Giáo dục Quốc phòng - An ninh 12 
     
     
    ...",180000,0,180000,0,5.0,80,"{'text': 'Đã bán 396', 'value': 396}",sach_giao_khoa_giao_trinh,
113655533,Giáo Trình Chủ Nghĩa Xã Hội Khoa Học (Dành Cho Bậc Đại Học Hệ Không Chuyên Lý Luận Chính Trị) - Bộ mới năm 2021,Bộ Giáo Dục Và Đào Tạo,available,"Giáo trình do GS.TS. Hoàng Chí Bảo làm chủ biên, cùng tập thể tác giả là những nhà nghiên cứu, nhà giáo dục có nhiều kinh nghiệm trong nghiên cứu, giảng dạy về chủ nghĩa xã hội khoa học; được biên...",56730,0,56730,0,5.0,294,"{'text': 'Đã bán 1480', 'value': 1480}",sach_giao_khoa_giao_trinh,Bìa mềm
178093139,Sách Giáo Khoa Bộ Lớp 9 - Sách Bài Học (Bộ 12 Cuốn) (2022),Bộ Giáo Dục Và Đào Tạo,available,"
 
 
  Sách Giáo Khoa Bộ Lớp 9 - Sách Bài Học (Bộ 12 Cuốn) (2022) 
  Bao Gồm: 
   
    
     
     STT 
     Tên sản phẩm 
     
     
     1 
     Toán 9/1 
     
     
     2 
     Toán 9/2 
     
...",136000,0,136000,0,5.0,26,"{'text': 'Đã bán 141', 'value': 141}",sach_giao_khoa_giao_trinh,
179211099,Sách- Combo sách lớp 9 toán văn anh và lý hóa,,available,"Sách- Combo 3 cuốn lớp 9 toán văn anh , lý hóa , đề cương
___________________________
 
Sách- Sổ tay toán văn anh lớp 9
- Hệ thống 3 môn Toán, Văn, Anh trong cùng 1 cuốn
=&gt; Giúp con học đều cả 3...",194000,0,194000,0,4.7,26,"{'text': 'Đã bán 122', 'value': 122}",sach_giao_khoa_giao_trinh,
113655308,Giáo Trình Kinh Tế Chính Trị Mác – Lênin (Dành Cho Bậc Đại Học Hệ Không Chuyên Lý Luận Chính Trị) - Bộ mới năm 2021,Bộ Giáo Dục Và Đào Tạo,available,"Giáo trình do PGS.TS. Ngô Tuấn Nghĩa chủ biên, cùng tập thể tác giả là những nhà nghiên cứu, nhà giáo dục có nhiều kinh nghiệm tổ chức biên soạn.
Giáo trình gồm 6 chương:
Chương 1 cung cấp những tri...",58000,0,58000,0,5.0,336,"{'text': 'Đã bán 1508', 'value': 1508}",sach_giao_khoa_giao_trinh,Bìa mềm
113656189,Giáo Trình Lịch Sử Đảng Cộng Sản Việt Nam (Dành Cho Bậc Đại Học Hệ Không Chuyên Lý Luận Chính Trị) - Bộ mới năm 2021,Bộ Giáo Dục Và Đào Tạo,available,"Ngoài chương nhập môn, trình bày về đối tượng, chức năng, nhiệm vụ, nội dung và phương pháp nghiên cứu, học tập lịch sử Đảng Cộng sản Việt Nam, giáo trình có kết cấu gồm 03 chương: Chương 1 nêu quá...",85000,0,85000,0,5.0,186,"{'text': 'Đã bán 952', 'value': 952}",sach_giao_khoa_giao_trinh,Bìa mềm
54683104,AutoCAD Cơ Bản Cho Người Mới Bắt Đầu (Dành Cho Phiên Bản AutoCAD 2009 Đến 2020),Nguyễn Hoành,available,"Bạn đang cầm trên tay cuốn sách """"AutoCAD Cơ bản cho người mới bắt đầu"""". Cuốn sách này dành cho những người thuộc ngành kỹ thuật nói chung và chuyên ngành xây dựng nói riêng. Quyển sách phù hợp với...",93000,19400,73600,21,4.6,113,"{'text': 'Đã bán 473', 'value': 473}",sach_giao_khoa_giao_trinh,Bìa mềm
172448095,"Bộ SGK Lớp 12 Nâng cao Toán, Lí, Hóa (SGK+BT) ",nhieu tac gia,available,"Bộ SGK Lớp 12 Nâng cao Toán, Lí, Hóa bao gồm:



1

Giải tích 12 Nâng Cao



2

Bài tập Giải tích 12 Nâng Cao



3

Hình học 12 Nâng cao



4

Bài Tập Hình học 12 Nâng cao



5

Vật Lí 12 Nâng...",117200,0,117200,0,5.0,19,"{'text': 'Đã bán 82', 'value': 82}",sach_giao_khoa_giao_trinh,Bìa mềm
1325399,Giáo Trình C++ Và Lập Trình Hướng Đối Tượng,Phạm Văn Ất,available,"
    
        Giáo Trình C++ Và Lập Trình Hướng Đối Tượng
    


    Lập trình cấu trúc là phương pháp tổ chức, phân chia chương trình thành các hàm, thủ tục. Chúng được dùng để xử lý dữ liệu
   ...",145000,27400,117600,19,4.7,347,"{'text': 'Đã bán 2644', 'value': 2644}",sach_giao_khoa_giao_trinh,Bìa mềm
149520322,Kinh Tế Học Vi Mô (2021),,available,"
 
 
  Kinh Tế Học Vi Mô (2021)
 
",268000,14000,254000,5,5.0,67,"{'text': 'Đã bán 292', 'value': 292}",sach_giao_khoa_giao_trinh,
113656455,Giáo Trình Tư Tưởng Hồ Chí Minh (Dành Cho Bậc Đại Học Hệ Không Chuyên Lý Luận Chính Trị) - Bộ mới năm 2021,Bộ Giáo Dục Và Đào Tạo,available,"Giáo trình do tập thể tác giả là những nhà nghiên cứu, nhà giáo dục có nhiều kinh nghiệm trong nghiên cứu, giảng dạy về tư tưởng Hồ Chí Minh, PGS.TS. Mạch Quang Thắng làm chủ biên; được biên soạn...",56500,0,56500,0,5.0,226,"{'text': 'Đã bán 1152', 'value': 1152}",sach_giao_khoa_giao_trinh,Bìa mềm
185290636,Hoạch Định Chiến Lược Dự Án,,available,Hoạch định chiến lược là bước đầu tiên trong quá trình lập và vận hành một dự án. Đây thường là bước chủ chốt quyết định thành bại của dự án. Hoạch định chiến lược chứa đựng các tiềm năng về khả năng...,198000,0,198000,0,0.0,0,,sach_giao_khoa_giao_trinh,Bìa cứng
146272261,Giáo Trình Quản Trị Cơ Sở Lưu Trú Du Lịch,,available,"
 
 
  Giáo Trình Quản Trị Cơ Sở Lưu Trú Du Lịch
 
",252000,42000,210000,17,5.0,1,"{'text': 'Đã bán 5', 'value': 5}",sach_giao_khoa_giao_trinh,
85400267,Giáo trình Quản Trị Học,,available,"Với mong muốn có được một cuốn giáo trình giảng dạy Quản trị học, nhóm tác giả đã biên soạn cuốn tài liệu này
Giáo trình được bố cục thành 3 phần chính với tổng số 12 chương. Mỗi chương bao gồm các...",180000,54200,125800,30,5.0,4,"{'text': 'Đã bán 15', 'value': 15}",sach_giao_khoa_giao_trinh,
