id,name,author_name,inventory_status,short_description,original_price,discount,price,discount_rate,rating_average,review_count,quantity_sold,type_book,book_cover
111290696,Việt Nam Sử Lược (Ấn Bản Kỉ Niệm 100 Năm Xuất Bản Lần Đầu) (Tái Bản),Trần Trọng Kim,available,"Đầu thế kỷ XX, giữa lúc nền học thuật nước nhà chỉ có các bộ đại tác như Đại Việt sử ký toàn thư hay Khâm định Việt sử thông giám cương mục là nguồn sử liệu chính thống nhưng chưa đáp ứng nhu cầu tìm...",389500,0,389500,0,5.0,1,"{'text': 'Đã bán 9', 'value': 9}",sach_lichsu_dialy,Bìa cứng
3071853,Homo Deus: Lược Sử Tương Lai,Yuval Noah Harari,available,"Homo Deus: Lược Sử Tương Lai
Homo sapiens có phải là một dạng sống siêu đẳng, hay chỉ là một tay đầu gấu địa phương? Làm thế nào con người lại tin rằng họ không chỉ đã kiểm soát thế giới, mà còn mang...",189000,34900,154100,18,4.6,1416,"{'text': 'Đã bán 5000+', 'value': 19446}",sach_lichsu_dialy,Bìa mềm
3723281,Lịch Sử Thế Giới Theo Dòng Sự Kiện - Từ Thời Đồ Đá Tới Thời Hiện Đại,Jane Chisholm,available,"Lịch Sử Thế Giới Theo Dòng Sự Kiện - Từ Thời Đồ Đá Tới Thời Hiện Đại
Cung cấp những kiến thức lịch sử giá trị, đáng tin cậy khắp năm châu bốn bể
Nội dung phong phú và đặc sắc, cách kể chuyện tài...",159000,42000,117000,26,4.8,461,"{'text': 'Đã bán 3258', 'value': 3258}",sach_lichsu_dialy,Bìa mềm
4182557,Lịch Sử Việt Nam Từ Nguồn Gốc Đến Giữa Thế Kỉ XX (Tái Bản),Lê Thành Khôi,available,"Lịch Sử Việt Nam Từ Nguồn Gốc Đến Giữa Thế Kỉ XX
Tác phẩm Lịch sử Việt Nam, từ nguồn gốc đến giữa thế kỷ XX này là sự kết hợp của hai chuyên khảo mang tính kinh điển về lịch sử và văn hóa Việt Nam...",200000,55000,145000,28,4.7,193,"{'text': 'Đã bán 1910', 'value': 1910}",sach_lichsu_dialy,Bìa mềm
111290696,Việt Nam Sử Lược (Ấn Bản Kỉ Niệm 100 Năm Xuất Bản Lần Đầu) (Tái Bản),Trần Trọng Kim,available,"Đầu thế kỷ XX, giữa lúc nền học thuật nước nhà chỉ có các bộ đại tác như Đại Việt sử ký toàn thư hay Khâm định Việt sử thông giám cương mục là nguồn sử liệu chính thống nhưng chưa đáp ứng nhu cầu tìm...",450000,47700,402300,11,5.0,470,"{'text': 'Đã bán 1604', 'value': 1604}",sach_lichsu_dialy,Bìa cứng
3071853,Homo Deus: Lược Sử Tương Lai,Yuval Noah Harari,available,"Homo Deus: Lược Sử Tương Lai
Homo sapiens có phải là một dạng sống siêu đẳng, hay chỉ là một tay đầu gấu địa phương? Làm thế nào con người lại tin rằng họ không chỉ đã kiểm soát thế giới, mà còn mang...",189000,68700,120300,36,4.8,80,"{'text': 'Đã bán 431', 'value': 431}",sach_lichsu_dialy,Bìa mềm
30568777,Xã Hội Việt Nam Qua Bút Ký của Người Nước Ngoài,Lê Nguyễn,available," 
XÃ HỘI VIỆT NAM QUA BÚT KÝ CỦA NGƯỜI NƯỚC NGOÀI
Tác giả: Lê Nguyễn
“Trong lịch sử nước ta, thời Lê-Trịnh” ở Đàng Ngoài và các chúa Nguyễn ở Đàng Trong vào những thế kỷ XVI, XVII, XVIII là thời kỳ...",135000,0,135000,0,5.0,92,"{'text': 'Đã bán 556', 'value': 556}",sach_lichsu_dialy,Bìa mềm
847470,Vũ Tịch,Trường An,available,"Vũ Tịch
""Gái đâu có gái lạ đời
Con vua lại lấy hai đời chồng xưa""
Nàng xuất hiện trong màn mưa Phú Xuân. Đẹp và u tịch như mưa.
Nàng là con gái út vua Lê Hiển Tông, công chúa cuối cùng của triều...",112000,39200,72800,35,4.7,104,"{'text': 'Đã bán 1058', 'value': 1058}",sach_lichsu_dialy,Bìa mềm
19370504,Vương Triều Tudor Cuối Cùng,Philippa Gregory,available,"Vương triều Tudor cuối cùng là một tác phẩm lịch sử về hoàng gia Anh thời Phục hưng, được sáng tác bởi một người uyên thâm về lịch sử, tác giả #1 theo bình chọn của New York Times - Philippa...",220000,17300,202700,8,4.6,31,"{'text': 'Đã bán 261', 'value': 261}",sach_lichsu_dialy,Bìa mềm
10212839,Gia Định Thành Thông Chí,Trịnh Hoài Đức,available,"Gia Định thành thông chí là một quyển địa chí của Trịnh Hoài Đức (1765-1825) viết về miền đất Gia Định, là một sử liệu quan trọng về Nam bộ Việt Nam thời nhà Nguyễn.
Quyển sách này ghi chép rất công...",550000,220000,330000,40,5.0,5,"{'text': 'Đã bán 26', 'value': 26}",sach_lichsu_dialy,Bìa cứng
