id,name,author_name,inventory_status,short_description,original_price,discount,price,discount_rate,rating_average,review_count,quantity_sold,type_book,book_cover
479128,Để Con Được Ốm (Tái Bản 2018),Uyên Bùi - BS. Trí Đoàn,available,"Để Con Được Ốm
Để con được ốm có thể coi là một cuốn nhật ký học làm mẹ thông qua những câu chuyện từ trải nghiệm thực tế mà chị Uyên Bùi đã trải qua từ khi mang thai đến khi em bé chào đời và trở...",95000,17000,78000,18,4.8,1487,"{'text': 'Đã bán 5000+', 'value': 69610}",sach_me_va_be,Bìa mềm
95218451,Lần Đầu Làm Mẹ - Tổng Hợp Những Kiến Thức Mới Nhất Về Mang Thai Và Sinh Nở (Tái Bản),Masato Takeuchi,available,"Này những người phụ nữ lần đầu mang thai và sắp sửa được làm mẹ, bạn có cảm thấy hoang mang với thời đại này vì quá nhiều thông tin kiến thức liên quan đến thai nhi và kiến thức sinh nở, nhưng mỗi...",260000,64000,196000,25,4.8,242,"{'text': 'Đã bán 1624', 'value': 1624}",sach_me_va_be,Bìa mềm
143185998,Ăn Dặm Không Phải Là Cuộc Chiến (Tái Bản),Mẹ Ong Bông,available,"“Ăn dặm không phải là cuộc chiến” là cuốn sách được viết nối tiếp theo thành công của cuốn sách “Nuôi con không phải là cuộc chiến”. Như tựa đề bộc lộ, cuốn sách này nhấn mạnh vào chủ đề ăn uống lành...",289000,74000,215000,26,4.8,103,"{'text': 'Đã bán 830', 'value': 830}",sach_me_va_be,Bìa mềm
139979522,Ăn Dặm Kiểu Nhật (Tái Bản),Tsutsumi Chiharu,available,"Bạn đã làm cha mẹ. Và bạn có lúng túng với bước đầu cho bé yêu ăn dặm?
Giai đoạn ăn dặm có vai trò là giai đoạn chuẩn bị để trẻ chuyển từ bú mẹ, uống sữa ngoài sang “nhai nát và nuốt”. Điều quan...",189000,49000,140000,26,5.0,121,"{'text': 'Đã bán 826', 'value': 826}",sach_me_va_be,Bìa mềm
95218547,Đọc Vị Mọi Vấn Đề Của Trẻ - Giải Mã Mọi Vấn Đề Về Nuôi Con Nhỏ: Ăn - Ngủ - Kỷ Luật Hành Vi (Tái Bản),Tracy Hogg,available,"Thưa các ông bố, bà mẹ, các em bé sơ sinh và các em bé chập chững biết đi yêu quý nhất, chính niềm vui và sự khiêm tốn đã đem lại cho tôi điều bí mật quan trọng nhất trong việc thì thầm với trẻ: cách...",199000,52700,146300,26,5.0,427,"{'text': 'Đã bán 2450', 'value': 2450}",sach_me_va_be,Bìa mềm
158019962,Combo 3 Cuốn Bộ Sách: Nuôi Con Không Phải Là Cuộc Chiến 2 (Tái Bản),Hachun Lyonnet (Hà Chũn),available,"Nuôi Con Không Phải Là Cuộc Chiến 2 (Bộ 3 cuốn )
Mốc thai kì 40 tuần đến gần, lúc này cũng là lúc mà bản năng “làm tổ” của mẹ trỗi dậy. Nhiều cha mẹ, đặc biệt là các cha mẹ chờ đợi đứa con đầu lòng...",377000,35400,341600,9,5.0,94,"{'text': 'Đã bán 739', 'value': 739}",sach_me_va_be,Bìa mềm
73553829,"Làm Cha Mẹ Tỉnh Thức - Chuyển Hóa Bản Thân, Trao Quyền Cho Con Cái",Tiến sĩ Shefali Tsabary,available,"Khi nuôi dạy con cái, ta thường xuyên bắt gặp mình đứng trước cuộc chiến giữa lý trí và con tim, như luôn phải đi thăng bằng trên dây. Một phản ứng không phù hợp có thể làm khô héo tâm hồn con, ngược...",139000,0,139000,0,5.0,710,"{'text': 'Đã bán 5000+', 'value': 5594}",sach_me_va_be,Bìa mềm
58213080,Montessori – Phương Pháp Giáo Dục Toàn Diện Cho Trẻ 0-6 Tuổi,Ito Mika,available,"MONTESSORI – PHƯƠNG PHÁP GIÁO DỤC TOÀN DIỆN CHO TRẺ 0-6 TUỔI
“Mỗi đứa trẻ đều mang hạt giống thiên tài – đừng để tuổi thơ của con trôi qua vô ích.”

Bạn có biết 0-6 tuổi là giai đoạn quan trọng nhất...",119000,49000,70000,41,5.0,306,"{'text': 'Đã bán 2246', 'value': 2246}",sach_me_va_be,Bìa mềm
158019964,Combo 4 Cuốn Bộ Sách: Nuôi Con Không Phải Là Cuộc Chiến (Tái Bản),"Mẹ Ong Bông, Hachun Lyonnet, Bubu Hương",available,"Nuôi Con Không Phải Là Cuộc Chiến (Bộ 4 cuốn)
Mốc thai kì 40 tuần đến gần, lúc này cũng là lúc mà bản năng “làm tổ” của mẹ trỗi dậy. Nhiều cha mẹ, đặc biệt là các cha mẹ chờ đợi đứa con đầu lòng chắc...",476000,147000,329000,31,5.0,98,"{'text': 'Đã bán 605', 'value': 605}",sach_me_va_be,Bìa mềm
184782104,Cha Mẹ Độc Hại (Tái Bản),Susan Forward,available,"Mọi người thường cho rằng cha mẹ là bến đỗ an toàn nhất của con trẻ, mọi chuyện cha mẹ làm đều là vì yêu thương con. Tuy nhiên có một số bậc cha mẹ có những hành vi tiêu cực và gây tổn thương cho con...",148000,41440,106560,28,4.5,2,"{'text': 'Đã bán 32', 'value': 32}",sach_me_va_be,Bìa mềm
4080373,90% Trẻ Thông Minh Nhờ Cách Trò Chuyện Đúng Đắn Của Cha Mẹ,Urako Kanamori,available,"90% Trẻ Thông Minh Nhờ Cách Trò Chuyện Đúng Đắn Của Cha Mẹ
Bạn có bao giờ thốt ra những câu dù biết là không nên nói như  “Còn lề mề đến bao giờ nữa hả?” hay “Chẳng được cái trò trống gì, đưa đây xem...",39000,100,38900,0,4.7,838,"{'text': 'Đã bán 5000+', 'value': 24534}",sach_me_va_be,Bìa mềm
168559524,Gia Đình Tỉnh Thức,Shefali Tsabary,available,"Gia đình tỉnh thức là tài liệu tham khảo cực kì hữu ích các bậc cha mẹ. Trong mỗi giai đoạn lớn lên, những đứa trẻ của chúng ta sẽ thay đổi. Từ những trải nghiệm quá khứ, hầu hết các bậc cha mẹ áp...",209000,19700,189300,9,5.0,48,"{'text': 'Đã bán 322', 'value': 322}",sach_me_va_be,Bìa mềm
