id,name,author_name,inventory_status,short_description,original_price,discount,price,discount_rate,rating_average,review_count,quantity_sold,type_book,book_cover
106185389,Tổng ôn ngữ pháp Tiếng Anh cô Trang Anh- Sách luyện thi THPT Quốc gia môn tiếng anh ,Trang Anh,available,"Tips Học Sách Tiếng Anh Cô Trang Anh: Tổng Ôn Ngữ Pháp Hiệu Quả:
Bước 1: Kích hoạt mã ID phía cuối cuốn sách.Bước 2: Xem bài giảng lý thuyết trực tuyến đính kèm trên hệ thống qua mã ID.Bước 3: Xem ví...",179000,60000,119000,34,4.8,2175,"{'text': 'Đã bán 5000+', 'value': 6247}",sach_thamkhao,Bìa mềm
167686691,(Pre-oder) - Sách Tổng Ôn Toán Học 12 - Ôn Thi THPT Quốc Gia 2022,Nhiều tác giả,available,"1. Nội Dung Sách:
- Tặng kèm khoá học video bài giảng ""Tổng ôn Toán học 12""
- Tổng hợp các chủ đề có trong đề thi THPTQG từ cơ bản đến nâng cao.
- 100% bài tập có đáp án và lời giải chi tiết.
- Cung...",200000,61000,139000,31,4.8,228,"{'text': 'Đã bán 761', 'value': 761}",sach_thamkhao,Bìa mềm
145630315,Bộ Đề Trắc Nghiệm 2022 Môn Tiếng Anh Cô Trang Anh.,Trang Anh,available,"- Sách Ôn Thi THPT Quốc gia - luyện đề trắc nghiệm 2022 MỚI NHẤT.
- Cô Trang Anh LIVESTREAM chữa chi tiết đề minh họa.
- 100% câu hỏi có Lời Giải Chi Tiết.
- Số lượng lên tới 60 đề minh họa luyện...",200000,50000,150000,25,4.8,559,"{'text': 'Đã bán 2092', 'value': 2092}",sach_thamkhao,Bìa mềm
169716796,Sách- Combo sổ tay toán văn anh và toán lý hóa 8,,available,"
  Sách- Combo sổ tay toán văn anh và toán lý hóa 8
   _________________________
   SÁCH HỌC THẬT GIỎI VÀ PHÁ ĐẢO 9 -10 ĐIỂM TOÁN VĂN ANH LỚP 8
   - Hệ thống 3 môn Toán, Văn, Anh trong cùng 1 cuốn
  ...",194000,0,194000,0,5.0,63,"{'text': 'Đã bán 319', 'value': 319}",sach_thamkhao,
104273603,500 bài luyện Đọc Hiểu – Đọc Điền Tiếng Anh,Trang Anh,available,"Sách Cô Trang Anh - 500 Bài Đọc Hiểu Tiếng Anh Ôn Thi THPT Quốc Gia 2022:
- Học Livestream cùng cô Trang Anh: Cách làm bài đọc hiểu- đọc điền, chữa chi tiết.️- 100% bài tập được dịch nghĩa, giải...",250000,61000,189000,24,4.8,194,"{'text': 'Đã bán 617', 'value': 617}",sach_thamkhao,Bìa mềm
14504343,Tổng Ôn Tập Đề Thi Olympic 30 Tháng 4 Tiếng Anh 10,,available,"Để nâng cao chất lượng của bộ sách, năm 2018, các giáo viên của trường THPT Lê Hồng Phong Tp. Hồ Chí Minh đã tuyển chọn các đề thi chính thức và các đề thi đề nghị của các trường tham gia qua 5 kỳ...",160000,63200,96800,40,4.8,646,"{'text': 'Đã bán 3643', 'value': 3643}",sach_thamkhao,Bìa mềm
104612987,Sách ID toán ôn thi THPT quốc gia theo chủ đề đề môn Toán: Tự học hình không gian,.,available,Sách Ôn Thi THPT Quốc Gia - Sách ID Tự Học Hình Học Không Gian - Khóa học tặng kèm:+ Hình học không gian- Trị giá 600K.+ Khóa học tặng kèm 03: Mỗi ngày một ý tưởng Toán Ôn Thi thpt quốc gia 2023.- Bổ...,139000,14000,125000,10,4.7,102,"{'text': 'Đã bán 263', 'value': 263}",sach_thamkhao,Bìa mềm
56027350,CẤP TỐC 789+ Môn Toán - Tổng Ôn Toàn Diện Kiến Thức Thi THPTQG - Nắm chắc kiến thức trọng tâm hay thi nhất,,available,"

Cuốn sách này phù hợp với những ai?CẤP TỐC 789+ môn Toán đặc biệt phù hợp với những bạn đang: - LÀM ĐỀ ĐIỂM THẤP - CHỈ DỪNG LẠI Ở ĐIỂM 5-6- CHƯA NẮM CHẮC KỸ THUẬT CASIO - MUỐN ""ÔM TRỌN"" KỸ THUẬT...",200000,101000,99000,51,4.8,401,"{'text': 'Đã bán 1354', 'value': 1354}",sach_thamkhao,
116971643,Sách - Sổ tay kiến thức 5 môn Toán Lí Hóa Sinh Anh lớp 11,,available,"
 
 
  
   Cuốn sổ tay tra cứu 5 môn Toán Lí Hóa Sinh Anh được tổng hợp theo từng môn, từng chủ điểm dễ học, dễ hiểu, giúp các em nắm vững kiến thức để chinh phục kì thi.
   Các lợi ích khi mua cuốn...",99000,0,99000,0,4.8,101,"{'text': 'Đã bán 365', 'value': 365}",sach_thamkhao,
76541999,Tăng tốc luyện đề thi Đánh giá năng lực (theo cấu trúc đề thi của Đại học Quốc gia TP. Hồ Chí Minh),Minh Tâm,available,Là cuốn sách DUY NHẤT cung cấp kiến thức/phương pháp/kĩ năng làm các dạng bài có trong đề thi đánh giá năng lực của ĐHQG HCM cùng nhiều đề thi tự luyện nhằm giúp 2K3 chinh phục điểm 800+ trong kì thi...,225000,45000,180000,20,4.8,429,"{'text': 'Đã bán 1636', 'value': 1636}",sach_thamkhao,Bìa mềm
