id,name,author_name,inventory_status,short_description,original_price,discount,price,discount_rate,rating_average,review_count,quantity_sold,type_book,book_cover
48362496,Bách Khoa Thư Đầu Đời Về Lịch Sử Loài Người,Matthew Oldham,available,"Cuộc sống ở Thời kỳ đồ đá thì như thế nào?

Con người xây lâu đài để làm gì?

Giấy vệ sinh có từ bao giờ?

Với minh họa đáng yêu cùng những chỉ dẫn ân cần, cuốn sách này giống như một người bạn thông...",99000,600,98400,1,4.6,28,"{'text': 'Đã bán 189', 'value': 189}",sach_thieu_nhi,Bìa mềm
507147,Học Vẽ Bằng Hình Cơ Bản - Nghệ Thuật Thật Là Đơn Giản,Rosa M. Curto,available,"Học Vẽ Bằng Hình Cơ Bản - Nghệ Thuật Thật Là Đơn Giản
Mời bạn lấy giấy bút ra ngay,
Kho hình khối sẵn trong sách này
Giúp vẽ ra nhiều điều ngộ nghĩnh
Cả các việc sinh hoạt hằng ngày.
Cuốn cẩm...",85000,17500,67500,21,4.8,461,"{'text': 'Đã bán 5000+', 'value': 6074}",sach_thieu_nhi,Bìa mềm
28199667,Từ Điển Khoa Học 1000 Loài Động Vật,Nikki Dyson,available,"Từ Điển Khoa Học 1000 Loài Động Vật
Cuốn sách minh họa tuyệt đẹp này chứa đầy hình ảnh các loài vật lý thú. Từ những loài sâu tí hon ngoe nguẩy tới những chú cá voi khổng lồ, có hẳn một ngàn loài vật...",169000,51000,118000,30,4.5,13,"{'text': 'Đã bán 127', 'value': 127}",sach_thieu_nhi,Bìa mềm
59235440,Xưởng Sáng Tạo Rộn Ràng- Mỗi Ngày Nguệch Ngoạc Một Bức Vẽ,.,available,"Ngập tràn các hoạt động sáng tạo cho bạn nhỏ 3+.
- Thích hợp làm quà tặng cho bạn nhỏ mê sáng tạo.

Bộ sách chứa rất nhiều tâm huyết của Nhã Nam và Usborne - nhà xuất bản sách thiếu nhi thành công...",169000,37000,132000,22,4.8,45,"{'text': 'Đã bán 313', 'value': 313}",sach_thieu_nhi,Bìa mềm
15267827,Hoàng Tử Bé (Tái Bản 2019),Antoine De Saint-Exupéry,available,"Hoàng tử bé được viết ở New York trong những ngày tác giả sống lưu vong và được xuất bản lần đầu tiên tại New York vào năm 1943, rồi đến năm 1946 mới được xuất bản tại Pháp. Không nghi ngờ gì, đây là...",75000,30000,45000,40,5.0,214,"{'text': 'Đã bán 939', 'value': 939}",sach_thieu_nhi,Bìa mềm
19792256,Chuyện Con Mèo Dạy Hải Âu Bay (Tái Bản 2019),Luis Sepulveda,available,"Cô hải âu Kengah bị nhấn chìm trong váng dầu – thứ chất thải nguy hiểm mà những con người xấu xa bí mật đổ ra đại dương. Với nỗ lực đầy tuyệt vọng, cô bay vào bến cảng Hamburg và rơi xuống ban công...",49000,19600,29400,40,5.0,161,"{'text': 'Đã bán 693', 'value': 693}",sach_thieu_nhi,Bìa mềm
3828605,Chú Bé Mang Pyjama Sọc (Tái Bản 2018),John Boyne,available,"Chú Bé Mang Pyjama Sọc (Tái Bản 2018)
Rất khó miêu tả câu chuyện về Chú bé mang pyjama sọc này. Thường thì chúng tôi vẫn tiết lộ vài chi tiết về cuốn sách trên bìa, nhưng trong trường hợp này chúng...",68000,17300,50700,25,5.0,1228,"{'text': 'Đã bán 5000+', 'value': 7684}",sach_thieu_nhi,Bìa mềm
580112,Harry Potter Và Hòn Đá Phù Thủy - Tập 1 (Tái Bản 2017),J. K. Rowling,available,"Harry Potter Và Hòn Đá Phù Thủy - Tập 1 (Tái Bản 2017)
Khi một lá thư được gởi đến cho cậu bé Harry Potter bình thường và bất hạnh, cậu khám phá ra một bí mật đã được che giấu suốt cả một thập kỉ....",135000,45612,89388,34,4.8,1444,"{'text': 'Đã bán 5000+', 'value': 16517}",sach_thieu_nhi,Bìa mềm
85029033,Truyện Cổ Grimm (Ấn Bản Đầy Đủ Nhất Kèm 184 Minh Hoạ Của Philipp Grot Johann Và Robert Leinweber),Jacob & Wilhelm Grimm,available,"Năm 1812, ấn bản đầu tiên của tập truyện “Kinder-und Hausmärchen” (Chuyện kể cho trẻ em và trong gia đình) ra đời tại Berlin, và lập tức gây được tiếng vang trong cộng đồng những nhà nghiên cứu ở...",680000,8400,671600,1,4.8,432,"{'text': 'Đã bán 1402', 'value': 1402}",sach_thieu_nhi,Bìa cứng
6563565,10 vạn câu hỏi vì sao - trọn bộ 5 tập,Đức Anh,available,"Giới thiệu sách - Tác giả : Đức anh - Số trang : 195 trang - Năm xuất bản : 2017 - Nhà xuất bản : dân trí Combo bộ sách trình bộ 5 cuốn sách 10 vạn câu hỏi vì sao, gồm 5 chủ đề về vũ trụ, động vật,...",219000,73500,145500,34,4.7,1625,"{'text': 'Đã bán 5000+', 'value': 15089}",sach_thieu_nhi,Bìa mềm
73139676,Full bộ (20 quyển) Truyện kể Mầm non - Cổ tích - Ngụ ngôn Aesop (giao ngẫu nhiên),,available,"
Từ xa xưa, ai cũng nghe trong lời kể của bà của mẹ về cô Tấm nết na, về Thánh Gióng dũng cảm. Những câu chuyện cổ tích luôn theo ta lớn lên hàng ngày từ thuở ầu ơ. Cùng với lời ru những câu chuyện...",240000,142000,98000,59,4.7,537,"{'text': 'Đã bán 2285', 'value': 2285}",sach_thieu_nhi,Bìa mềm
54003813,Siêu Nhí Hỏi Nhà Khoa Học Trả Lời - 100 Bí Ẩn Mọi Đứa Trẻ Đều Muốn Hỏi Một Nhà Khoa Học,Robert Winston,available,"SIÊU NHÍ HỎI NHÀ KHOA HỌC TRẢ LỜI

Cuốn sách khoa học đáng yêu cho các bạn nhỏ này tập hợp 100 câu hỏi về cuộc sống hàng ngày từ các bạn học sinh trên khắp thế giới gửi đến nhà khoa học Robert...",250000,111000,139000,44,4.8,1265,"{'text': 'Đã bán 5000+', 'value': 7144}",sach_thieu_nhi,Bìa cứng
166033489,Hoàng Tử Bé (Tái Bản 2022),Antoine De Saint-Exupéry,available,"“ậu hoàng tử chợp mắt ngủ, tôi bế em lên vòng tay tôi và lại lên đường. Lòng tôi xúc động. Tôi có cảm giác như trên Mặt Đất này không có gì mong manh hơn. Nhờ ánh sáng trăng, tôi nhìn thấy vầng trán...",35000,3000,32000,9,5.0,60,"{'text': 'Đã bán 550', 'value': 550}",sach_thieu_nhi,Bìa mềm
119694726,Combo 6 cuốn Ehon Kích thích thị giác - Âm thanh cho Trẻ sơ sinh,,available,"Ehon Kích Thích Thị Giác - Âm thanh (Bộ 6 quyển) gồm các chủ đề:
- Lung linh lung linh - Gấu Pun ngắm thiên nhiên.
- Lắc lư lắc lư - Gấu Pun và bạn.
- Kính coong kính coong - Đồ vật của Gấu Pun 
-...",234000,109980,124020,47,5.0,237,"{'text': 'Đã bán 1241', 'value': 1241}",sach_thieu_nhi,Bìa mềm
109862191,Combo 8 cuốn: Bộ sách IQ vượt trội - IQ booster,,available,"BỘ SÁCH IQ VƯỢT TRỘI/IQ BOOSTER (SONG NGỮ ANH -VIỆT) – 8 cuốn 
Nhằm phát triển tối đa tư duy logic và óc phán đoán thông minh cho các bé từ 3- 6 tuổi, Tuan Viet Books giưới thiệu tới ba me và các bé...",80000,45000,35000,56,4.7,311,"{'text': 'Đã bán 1961', 'value': 1961}",sach_thieu_nhi,Bìa mềm
73686632,Combo 14 Truyện Ngụ ngôn Aesop - Truyện kể mầm non - Truyện cổ tích (Giao ngẫu nhiên),,available,"Trải qua nhiều thế kỷ tồn tại, những cuốn sách gối đầu giường gồm các nhân vật nhân hóa về Thỏ và Rùa, Cú mèo và Châu chấu,  của Aesop đã luôn được mến mộ bởi trẻ em ở khắp các quốc gia. Có thể nói,...",168000,84000,84000,50,4.7,221,"{'text': 'Đã bán 1103', 'value': 1103}",sach_thieu_nhi,Bìa mềm
56362834,Mình Cư Trú Ở Nơi Này,Oliver Jeffers,available,"Mình cư trú ở nơi này là cuốn sách mới của Oliver Jeffer - một trong những người làm sách tranh (picture book maker) vĩ đại nhất thế giới hiện nay. Sách tranh của anh luôn được các nhà phê bình,...",85000,23000,62000,27,4.7,44,"{'text': 'Đã bán 300', 'value': 300}",sach_thieu_nhi,Bìa mềm
25047208,Những Điều Sách Giáo Khoa Không Dạy Bạn: Động Vật,Andrea Mills,available,"Bạn đã bao giờ muốn biết một con bạch tuộc thì có bao nhiêu trái tim chưa? Hay vì sao một con chim cánh cụt không bao giờ sống ở sa mạc?
Giờ thì bạn có thể tìm ra câu trả lời rồi!
DK findout! Động...",89000,28000,61000,31,4.6,8,"{'text': 'Đã bán 117', 'value': 117}",sach_thieu_nhi,Bìa mềm
50685547,Bản Đồ,Aleksandra Mizielińska,available,"Hãy khám phá thế giới cùng cuốn bản đồ khổng lồ đầu tiên ở Việt Nam! Sách gồm 52 tấm bản đồ minh họa sinh động các đặc điểm địa lý và biên giới chính trị, giới thiệu những địa điểm nổi tiếng, những...",345000,74700,270300,22,4.8,844,"{'text': 'Đã bán 4924', 'value': 4924}",sach_thieu_nhi,Bìa cứng
67060012,Phát Triển Trí Tuệ Cảm Xúc- Cảm Xúc Của Con Màu Gì?,Jayneen Sanders,available,PHÁT TRIỂN TRÍ TUỆ CẢM XÚC - hành trang tâm lý vững vàng cho con.Hữu ích cho phụ huynh và trẻ 3+Bộ sách thiết thực này là kết hợp giữa những minh họa trực quan cao độ và chủ đề giáo dục trọng yếu....,50000,4000,46000,8,5.0,210,"{'text': 'Đã bán 1687', 'value': 1687}",sach_thieu_nhi,Bìa mềm
170463582,Siêu Nhí Biết Tuốt - 101 Bí Ẩn Kích Thích Tò Mò Của Các Bạn Nhỏ,,available,SIÊU NHÍ BIẾT TUỐTCuốn sách khoa học dễ thương dành cho các bé ham mê tìm hiểu bao gồm 101 câu hỏi về cuộc sống hàng ngày từ các bạn học sinh trên khắp thế giới được tập hợp đầy đủ. Ở lứa tuổi này...,110000,0,110000,0,0.0,0,,sach_thieu_nhi,Bìa cứng
687486,Harry Potter Và Hội Phượng Hoàng - Tập 5 (Tái Bản 2017),J. K. Rowling,available,"Harry Potter Và Hội Phượng Hoàng - Tập 5 (Tái Bản 2017)
Harry tức giận vì bị bỏ rơi ở nhà Dursley trong dịp hè, cậu ngờ rằng Chúa tể hắc ám Voldemort đang tập hợp lực lượng, và vì cậu có nguy cơ bị...",355000,121635,233365,34,4.7,767,"{'text': 'Đã bán 5000+', 'value': 7583}",sach_thieu_nhi,Bìa mềm
73102465,Bé Tô màu - Combo 11 cuốn,,available,"Bộ Combo 11 Cuốn Bé Tô màu
Độ tuổi từ 3-6 đã được chứng minh là ""độ tuổi vàng"" cho các bé trong quá trình phát triển tư duy và trí tưởng tượng, đặc biệt nếu bé được tham gia vào nhiều hoạt động trò...",132000,80000,52000,61,4.8,291,"{'text': 'Đã bán 1489', 'value': 1489}",sach_thieu_nhi,Bìa mềm
109322300,"Combo 8 cuốn Ehon Kỹ năng sống: Bon và Gia đình, Bạn bè",,available,"Ehon được biết đến như sách trach dành cho các bé từ 0-6 tuổi. Với Ehon, trẻ em Nhật Bản đã được gieo mầm tâm hồn từ khi còn nhỏ khi hàng ngày được cha mẹ đọc truyện cho. Văn hóa Ehon đã từ Nhật mà...",232000,134000,98000,58,4.8,249,"{'text': 'Đã bán 1602', 'value': 1602}",sach_thieu_nhi,Bìa mềm
92492870,Combo 6 Cuốn Ehon Nhật Bản : Ai Ở Sau Lưng Bạn Thế (Tái Bản),Acccototo,available,"Ai ở sau lưng bạn thế? là bộ Ehon Nhật Bản gồm 6 cuốn dành cho các bé từ 0 - 3 tuổi theo chủ đề về các loài động vật:

Ai ở sau lưng bạn thế?
Ai ở sau lưng bạn thế? Những người bạn trên hoang mạc
Ai...",234000,78000,156000,33,5.0,201,"{'text': 'Đã bán 1207', 'value': 1207}",sach_thieu_nhi,Bìa mềm
