id,name,author_name,inventory_status,short_description,original_price,discount,price,discount_rate,rating_average,review_count,quantity_sold,type_book,book_cover
97875879,Anatomy Drawing School: Human and Animal,,available,"Author: Andras Szunyoghy
Format:  Paperback | 420 pages
Dimensions: 230 x 297 x 27.94mm | 1,088.62g
Publication date:  01 Dec 2016
For centuries, the study of anatomy has played an important role in...",510000,0,510000,0,5.0,2,"{'text': 'Đã bán 18', 'value': 18}",sach_tieng_anh,
141791601,CLOSE TO YOU,,available,"Phạm Duy Thức, author, was born and raised in Ho Chi Minh City, Vietnam. He attended Baylor University in Texas from 2012 – 2016. His writing philosophy: “It is the duty of every writer to try their...",60000,0,60000,0,5.0,2,"{'text': 'Đã bán 8', 'value': 8}",sach_tieng_anh,Bìa mềm
114629153,Sách - Everything you need to ace science - Sổ tay khoa học Á Châu Books,nhieu tac gia,available,"Sách - Everything you need to ace science - Sổ tay khoa học
Được lấy ý tưởng vở ghi chép của người bạn học giỏi nhất lớp nên hình thức và các trình bày của cuốn sách khá là đồng điệu và gần gũi với...",594000,274000,320000,46,5.0,1,"{'text': 'Đã bán 14', 'value': 14}",sach_tieng_anh,Bìa cứng
95039338,Sách Alpha Books - The Design Thinking Playbook - Thực Hành Tư Duy Thiết Kế,,available,"
 
 
  
   “ Thực hành tư duy thiết kế không chỉ phác thảo và mô tả cách áp dụng tư duy thiết kế. (…) Cuốn sách này là một đóng góp mới đầy trí tưởng tượng”. - Nigel Cross, tác giả cuốn Design...",299000,0,299000,0,5.0,1,"{'text': 'Đã bán 1', 'value': 1}",sach_tieng_anh,
22881852,English Grammar in Use Book w Ans,Raymond Murphy,available,"The world's best-selling grammar series for learners of English. English Grammar in Use Fourth edition is an updated version of the world's best-selling grammar title. It has a fresh, appealing new...",178000,8900,169100,5,5.0,2405,"{'text': 'Đã bán 5000+', 'value': 10243}",sach_tieng_anh,
49181801,Oxford Advanced Learner's Dictionary : Paperback - 10th Edition (With 1 Year's Access To Both Premium Online And App),Diana Lea,available,"
Oxford Advanced Learner's Dictionary 10th edition builds English vocabulary better than ever before and leads the way to more confident, successful communication in English.The Oxford Advanced...",498000,24900,473100,5,4.8,395,"{'text': 'Đã bán 1627', 'value': 1627}",sach_tieng_anh,
22878271,Essential Grammar in Use Book with Answers Edition: A Self-Study Reference and Practice Book for Elementary Learners of English,Raymond Murphy,available,"Essential Grammar in Use is a self-study reference and practice book for elementary-level learners (A1-B1), used by millions of people around the world. With clear examples, easy-to-follow exercises...",178000,8900,169100,5,5.0,429,"{'text': 'Đã bán 2296', 'value': 2296}",sach_tieng_anh,
23437685,English Vocabulary in Use: Pre-Intermediate and Intermediate Book with Answers: Vocabulary Reference and Practice (Kèm CD),Stuart Redman,available,Vocabulary explanations and practice for pre-intermediate level (B1) learners of English. Perfect for both self-study and classroom activities. Quickly expand your vocabulary with over 100 units of...,193000,9650,183350,5,4.8,271,"{'text': 'Đã bán 1460', 'value': 1460}",sach_tieng_anh,
23437828,English Vocabulary in Use: Elementary Book with Answers Reprint Edition: Vocabulary Reference and Practice (CD-ROM),Michael McCarthy,available,"The world's best-selling grammar series for learners of English. English Grammar in Use Fourth edition is an updated version of the world's best-selling grammar title. It has a fresh, appealing new...",134000,6700,127300,5,5.0,243,"{'text': 'Đã bán 1397', 'value': 1397}",sach_tieng_anh,
11119019,Oxford Advanced Learner's Dictionary 8th Edition (With Vietnamese Translation) and CD - ROM (Paperback),Oxford University Press,available,"Oxford Advanced Learner's Dictionary (viết tắt: OALD) bao gồm CD-ROM - từ điển bán chạy nhất thế giới - vừa ra mắt ấn bản Anh - Việt. Để cuốn sách này đến tay bạn đọc trong nước, đơn vị thực hiện mất...",625000,0,625000,0,4.8,151,"{'text': 'Đã bán 563', 'value': 563}",sach_tieng_anh,Paperback
22986051,Atomic Habits,Random House Business,available,"NEW YORK TIMES BESTSELLER ‘A supremely practical and useful book.’ Mark Manson, author of The Subtle Art of Not Giving A F*ck ________________________________ A revolutionary system to get 1 per cent...",346000,0,346000,0,5.0,113,"{'text': 'Đã bán 510', 'value': 510}",sach_tieng_anh,
332626,Oxford Learner's Pocket Dictionary : A Pocket-sized Reference to English Vocabulary (Fourth Edition),,available,"
Essential information on the basic vocabulary learners of English need to know, in a handy pocket-size.The Oxford Learner's Pocket Dictionary has over 38,000 words, phrases, and meanings giving...",77000,3850,73150,5,4.8,176,"{'text': 'Đã bán 1719', 'value': 1719}",sach_tieng_anh,Bìa mềm
155351487,IELTS 16 ACADEMIC,Cambridge,available,"Cambridge IELTS 16 – Cuốn sách thứ 16 trong bộ sách huyền thoạiCambridge IELTS từ nhà xuất bản Cambridge, với 2 phiên bản Academic vàGeneral Training đã chính thức lên kệ tại Công ty Cổ phần Sách...",184000,0,184000,0,5.0,52,"{'text': 'Đã bán 326', 'value': 326}",sach_tieng_anh,Bìa mềm
22881827,Complete IELTS B1 Student's Book with answer with CD-ROM,Mark Harrison,available,KÈM CD ROM - KHÔNG KÈM CD NGHE Complete IELTS combines the very best in contemporary classroom practice with stimulating topics aimed at young adults wanting to study at university. The Student's...,279000,13950,265050,5,4.8,434,"{'text': 'Đã bán 2109', 'value': 2109}",sach_tieng_anh,
25679183,English Vocabulary in Use: Vocabulary Reference and Practice (CD-ROM),Michael McCarthy,available,"The perfect choice for advanced-level students wanting to build their vocabulary skills. English Vocabulary in Use: Advanced includes over 2,000 new words and expressions which are presented and...",193000,9650,183350,5,5.0,149,"{'text': 'Đã bán 693', 'value': 693}",sach_tieng_anh,
