id,name,author_name,inventory_status,short_description,original_price,discount,price,discount_rate,rating_average,review_count,quantity_sold,type_book,book_cover
57211757,Utopia - Địa đàng trần gian (Tái Bản 2020),Thomas More,available,"Văn chương kinh điển
Phiên bản bìa mới 2020

SƠ LƯỢC VỀ TÁC PHẨM:
Thomas More đã viết Utopia trong những năm từ 1515 đến 1516, thời điểm trí tưởng tượng của con người bị khuyấy đảo trước sự mở rộng...",60000,16100,43900,27,4.8,100,"{'text': 'Đã bán 504', 'value': 504}",sach_van_hoc,Bìa mềm
3638033,Trăm Năm Cô Đơn,Gabriel Garcia Marquez,available,"Trăm Năm Cô Đơn
“Chỉ với một bước nhảy, Gabriel García Márquez đã vụt lên ngang hàng với Günter Grass và Vladimir Nabokov.”
- The New York Times
“Xuất sắc, hỗn độn, với tầm ảnh hưởng lớn ảnh…  Một...",169000,44200,124800,26,4.7,820,"{'text': 'Đã bán 5000+', 'value': 5839}",sach_van_hoc,Bìa mềm
191541098,Lệ Chi (Tiểu thuyết lịch sử),,available,"DỰA TRÊN MỘT SỰ KIỆN CÓ THẬT!
Một đêm mùa thu hơn 600 năm trước, Côn Sơn trang náo nức đón nhà vua trẻ ghé thăm, đồ ăn được chuẩn bị, váy áo lễ hội xúng xính, đèn lồng được thắp sáng khắp nơi, dân...",98000,19600,78400,20,0.0,0,"{'text': 'Đã bán 16', 'value': 16}",sach_van_hoc,Bìa mềm
5154645,Ở Quán Cà Phê Của Tuổi Trẻ Lạc Lối (Tái Bản),,available,"Ở Quán Cà Phê Của Tuổi Trẻ Lạc Lối (Tái Bản)
Liệu những con đường ta qua thời tuổi trẻ có thực sự là đường vòng? Hay chỉ đơn giản là một đường thẳng, dẫn về phía nội tâm?

Tuổi trẻ là một khối dồn...",59000,14900,44100,25,4.8,304,"{'text': 'Đã bán 2282', 'value': 2282}",sach_van_hoc,Bìa mềm
109017985,"Thiên Tài Bên Trái, Kẻ Điên Bên Phải (Tái Bản)",Cao Minh,available,"NẾU MỘT NGÀY ANH THẤY TÔI ĐIÊN, THỰC RA CHÍNH LÀ ANH ĐIÊN ĐẤY!
Hỡi những con người đang oằn mình trong cuộc sống, bạn biết gì về thế giới của mình? Là vô vàn thứ lý thuyết được các bậc vĩ nhân kiểm...",179000,58000,121000,32,4.8,4165,"{'text': 'Đã bán 5000+', 'value': 15974}",sach_van_hoc,Bìa mềm
52789367,Nhà Giả Kim (Tái Bản 2020),Paulo Coelho,available,"Sơ lược về tác phẩm
Tất cả những trải nghiệm trong chuyến phiêu du theo đuổi vận mệnh của mình đã giúp Santiago thấu hiểu được ý nghĩa sâu xa nhất của hạnh phúc, hòa hợp với vũ trụ và con người.
Tiểu...",79000,31600,47400,40,5.0,752,"{'text': 'Đã bán 2611', 'value': 2611}",sach_van_hoc,Bìa mềm
174038838,Here U Are – Tập 2,DJun,available,"Here U Are 2 – Hiểu lầm và những khúc mắc
 
“Bị  thường là vì lý do gì?’’
……
 
Ngu Dương và Lê Hoán gặp nhau trong ngày tân sinh viên nhập học. Từ lúc ban đầu có ấn tượng không tốt với chàng sinh...",110000,23000,87000,21,4.7,667,"{'text': 'Đã bán 2015', 'value': 2015}",sach_van_hoc,Bìa mềm
151994935,Sói Đầu Đàn Và Cún Nhỏ - Tập 1,Ma Vĩ,available,"Đối với phiên bản đặt biệt, số lượng đặt tối đa 02 quyển/ khách hàng. Trong trường hợp phát sinh đơn hàng từ 3 quyển trở lên Tiki xin phép hủy đơn hàng.
SÓI ĐẦU ĐÀN VÀ CÚN NHỎ - MA VĨ
Một ngày nọ,...",128000,24000,104000,19,5.0,1308,"{'text': 'Đã bán 3114', 'value': 3114}",sach_van_hoc,Bìa mềm
174444163,"Dear, Darling",Hiên,available,"“Dear, darling
Nếu tình yêu có hạn sử dụng,
Em mong là dùng được trăm năm.”
Quay trở lại sau 2 năm vắng bóng, “Dear darling” của Hiên gửi tặng bạn những lời thủ thỉ rất đỗi dịu dàng, rất đỗi ngọt...",88000,4200,83800,5,4.8,494,"{'text': 'Đã bán 3116', 'value': 3116}",sach_van_hoc,Bìa mềm
181974015,Thế Giới Otome Game Thật Khắc Nghiệt Với Nhân Vật Quần Chúng (Tập 5),Mishima Yomu,available,"Thế Giới Otome Game Thật Khắc Nghiệt Với Nhân Vật Quần Chúng (Tập 5) 
“Nếu huy hiệu mà cũng hiện ra trên bàn tay của Leon thì… chúng tớ tâm đầu ý hợp nhỉ?” 
Noelle, người luôn thầm nghĩ về Leon, đang...",129000,27000,102000,21,4.8,555,"{'text': 'Đã bán 1692', 'value': 1692}",sach_van_hoc,Bìa mềm
