id,name,author_name,inventory_status,short_description,original_price,discount,price,discount_rate,rating_average,review_count,quantity_sold,type_book,book_cover
161509386,Tạp chí Forbes Việt Nam - Số 102 (Tháng 02.2022),nhieu tac gia,available,"Tạp chí Forbes Việt Nam
ẤN PHẨM TIẾNG VIỆT CỦA TẠP CHÍ KINH DOANH HÀNG ĐẦUĐÃ CÓ MẶT TRÊN HƠN 40 QUỐC GIA

Forbes Việt Nam cung cấp những thông tin và góc nhìn sâu sắc về doanh nghiệp và môi trường...",95000,0,95000,0,5.0,13,"{'text': 'Đã bán 73', 'value': 73}",tap_chi,
176854208, Tạp chí HARPER'S BAZAAR Tháng 05/2022,,available,"Tạp chí Harper’s Bazaar Việt Nam kỳ 05/2022 với sự xuất hiện đặc biệt của thành viên JISOO thuộc nhóm nhạc nữ đình đám BLACKPINK - Biểu tượng thời trang và sắc đẹp toàn cầu.
Tạp chí Harper's...",64000,0,64000,0,5.0,86,"{'text': 'Đã bán 335', 'value': 335}",tap_chi,Bìa cứng
188694977,Tạp chí HARPER'S BAZAAR Tháng 07/2022,,available,"Tạp chí Harper’s Bazaar Việt Nam kỳ số 07/2022 - kỷ niệm sinh nhật lần thứ 11 của Harper’s Bazaar Việt Nam sẽ là sự xuất hiện đặc biệt của nữ Ca sỹ người Mỹ Christina Aguilera.
Tạp chí Harper's...",64000,0,64000,0,4.7,6,"{'text': 'Đã bán 61', 'value': 61}",tap_chi,Bìa cứng
178566808,Tạp chí Forbes Việt Nam - Số 105 (Tháng 05.2022) ,nhieu tac gia,available,"Tạp chí Forbes Việt Nam
ẤN PHẨM TIẾNG VIỆT CỦA TẠP CHÍ KINH DOANH HÀNG ĐẦUĐÃ CÓ MẶT TRÊN HƠN 40 QUỐC GIA

Forbes Việt Nam cung cấp những thông tin và góc nhìn sâu sắc về doanh nghiệp và môi trường...",95000,0,95000,0,5.0,6,"{'text': 'Đã bán 56', 'value': 56}",tap_chi,Bìa mềm
156175417,Dijkstra - Ấn Phẩm Chuyên Đề Cho Kỹ Sư Phần Mềm Người Việt - Tập 2,,available,"Dijkstra - Ấn Phẩm Chuyên Đề Cho Kỹ Sư Phần Mềm Người Việt - Tập 2
Bạn đọc thân mến!
Kể từ sau tập đầu tiên của ấn phẩm Dijkstra, ban biên soạn Grokking đã nhận được nhiều phản hồi tích cực từ đông...",100000,0,100000,0,4.8,146,"{'text': 'Đã bán 913', 'value': 913}",tap_chi,Bìa mềm
8168463,BTS Con Đường Khẳng Định Chính Mình,Gu Ja Hyoung,available,"BTS Con Đường Khẳng Định Chính Mình
Nhắc tới BTS hẳn ai cũng sẽ nhớ đến một nhóm nhạc tài năng và đầy triển vọng. nhưng đâu phải ai cũng biết rằng đằng sau đó là cả một con đường dài và đầy chông gai...",156000,45000,111000,29,4.6,352,"{'text': 'Đã bán 4953', 'value': 4953}",tap_chi,Bìa cứng
163575699,Tạp chí ELLE tháng 02/2022,,available,"Sau nhiều chộn rộn của những ngày đón năm mới, tháng 2 là tháng của Tình yêu, và cũng là lúc để chúng ta tạm lắng lại, dành nhiều thời gian hơn cho chính mình, cho những người quan trọng và những...",65000,0,65000,0,5.0,34,"{'text': 'Đã bán 126', 'value': 126}",tap_chi,Bìa mềm
24957730,Đế Chế SM,Kim Dong Hwan,available,Lịch sử của SM bất cứ ai cũng phải thừa nhận chính là lịch sử của Lee Soo Man. Đó là lịch sử nửa đời của ông và lịch sử của những người đã cùng ông trải qua những năm tháng đó. Tuy có lúc vấp phải...,149000,69400,79600,47,4.7,53,"{'text': 'Đã bán 588', 'value': 588}",tap_chi,Bìa cứng
169599435,Tạp chí ELLE tháng 03/2022, ,available,"Sau những điều ngọt ngào của tình yêu tháng 2, đây là lúc chúng ta tạm lắnglại, để lắng nghe và thấu hiểu những tâm tư suy nghĩ của chính mình, dành thời giannhiều hơn cho những người thân yêu, đặc...",65000,0,65000,0,5.0,9,"{'text': 'Đã bán 47', 'value': 47}",tap_chi,Bìa mềm
184673149,Tạp chí Forbes Việt Nam - Số 106 (Tháng 06.2022),nhieu tac gia,available,"Tạp chí Forbes Việt Nam
ẤN PHẨM TIẾNG VIỆT CỦA TẠP CHÍ KINH DOANH HÀNG ĐẦUĐÃ CÓ MẶT TRÊN HƠN 40 QUỐC GIA

Forbes Việt Nam cung cấp những thông tin và góc nhìn sâu sắc về doanh nghiệp và môi trường...",95000,0,95000,0,5.0,5,"{'text': 'Đã bán 52', 'value': 52}",tap_chi,Bìa mềm
44984267,J.O.Y – Issue 2: Người Kể Chuyện Tình,.,available,"Cùng slogan “Inspiration for Everyday Life – Cảm hứng sống mỗi ngày”, J.O.Y Magazine Book định vị trở thành một ấn phẩm made-in-Vietnam, tiên phong trong lĩnh vực sách – tạp chí về cảm hứng sống dành...",139000,40000,99000,29,4.7,74,"{'text': 'Đã bán 794', 'value': 794}",tap_chi,Bìa mềm
178477040,Tạp chí ELLE DECORATION tháng 5/2022, ,available,"ELLE Decoration Vietnam - Số báo mùa hè 2022Chủ đề LIVE &amp; PLAYBạn đọc mến,Đây sẽ là ấn phẩm nhộn nhịp nhất bạn từng đọc của ELLE Decoration. Trong báo cáo tổng hợp Trend Forecast của các tổng...",100000,0,100000,0,5.0,6,"{'text': 'Đã bán 56', 'value': 56}",tap_chi,Bìa mềm
117708182,Tạp chí ELLE tháng 8/2021,,available,"Ấn phẩm ELLE tháng 8 với gương mặt trang bìa được mong đợi - Jennie (Blackpink) với những hình ảnh độc quyền. Trong bài phỏng vấn với ELLE, Jennie chia sẻ những ấp ủ về sự nghiệp âm nhạc, niềm đam mê...",65000,0,65000,0,4.8,28,"{'text': 'Đã bán 82', 'value': 82}",tap_chi,Bìa mềm
179218534,Tạp chí Nội Thất 318 (Tháng 05-2022),,available,Chúng ta phải thừa nhận yếu tố màu sắc rất quan trọng với môi trường sống nói chung và với nội thất nói riêng. Cách sử dụng màu sắc nói lên tính thời đại và quyết định gần hết sự đẹp xấu của nội...,34500,0,34500,0,4.8,4,"{'text': 'Đã bán 34', 'value': 34}",tap_chi,Bìa mềm
173347852,Tuổi Trẻ Cười số 6 phát hành ngày 01-4-2022,,available,"TUỔI TRẺ CƯỜI số ra ngày mùng 1 tháng 4 năm 2022 có gì đặc biệt ?

Tranh 1 và 4 của báo TTC số này sẽ dành trọn cho các nhân vật đang hot: Chú Cuội rao bán đất mặt trăng và “Thánh livestream” bị bế...",14500,0,14500,0,5.0,3,"{'text': 'Đã bán 21', 'value': 21}",tap_chi,Bìa mềm
177532880,Tuổi Trẻ Cuối Tuần số 16 phát hành ngày 01-5-2022,,available,"Số báo 16-2022 phát hành ngày 1-5-2022, với chủ đề “Giá của đồng tiền”.
- Bình luận quốc tế: “Sơ kết hai tháng chiến cuộc” ở Ukraine, đã có dấu hiệu cho thấy chưa hẳn đông hơn, mạnh hơn, tối tân hơn...",14500,0,14500,0,5.0,3,"{'text': 'Đã bán 9', 'value': 9}",tap_chi,Bìa mềm
179584168,Tạp chí HARPER’S BAZAAR Tháng 05/22 - Bìa 3,,available,"Tạp chí Harper’s Bazaar Việt Nam kỳ 05/2022 - Bìa Tiếng Anh - Nhân vật trang bìa là Nữ ca sỹ Lưu Vũ Hân (Liu Yuxin) - với chốn riêng tư mang tên ""XANADU"".
Tạp chí Harper's Bazaar là tạp chí thời...",64000,0,64000,0,5.0,3,"{'text': 'Đã bán 13', 'value': 13}",tap_chi,Bìa cứng
174599846,Tạp chí HARPER'S BAZAAR Tháng 01/2022,,available,"Tạp chí Harper’s Bazaar Việt Nam kỳ 01/2022 khai xuân 2022 với gương mặt trang bìa là Fashionista - Model Hà Trúc
Tạp chí Harper's Bazaar là tạp chí thời trang hàng đầu trên thế giới, thuộc tập đoàn...",64000,0,64000,0,0.0,0,"{'text': 'Đã bán 5', 'value': 5}",tap_chi,Bìa cứng
127218965,Sách Bộ sưu tập Cổ Vật Trung Hoa,Phạm Hy Tùng,available,"LỜI THƯA Trong cuốn sách đầu tay “Cổ vật gốm sứ Việt Nam đặt làm tại Trung Hoa”, NXB Văn hóa Sài Gòn 2006 (giải khuyến khích – giải thưởng Sách hay Việt Nam năm 2007, tái bản lần 1, NXB Thời Đại...",918000,0,918000,0,0.0,0,"{'text': 'Đã bán 1', 'value': 1}",tap_chi,Bìa mềm
997027,Graphics 02 - Draw The Lines,BBT Tạp chí Graphics,available,"Graphics 02 - Draw The Lines 
Số thứ hai của Graphics xoay quanh thành phần thiết kế cơ bản thứ hai: Line (đường). Những bài viết chuyên đề sẽ cung cấp cho bạn những khái niệm về Đường và chúng được...",119000,25900,93100,22,4.8,61,"{'text': 'Đã bán 418', 'value': 418}",tap_chi,
