id,name,author_name,inventory_status,short_description,original_price,discount,price,discount_rate,rating_average,review_count,quantity_sold,type_book,book_cover
32412544,"Combo Trọn Bộ CONAN ĐẶC SẮC: Conan và Tổ chức Áo Đen (Tập 1, 2) + Conan Tuyển Tập Đặc Biệt - FBI Selection + Conan Tuyển Tập Fan Bình Chọn (Tập 1, 2) + Conan Những Câu Chuyện Lãng Mạn (Tập 1,2,3) - Bộ 8 Cuốn/ Tặng Kèm Postcard Green Life", Gosho Aoyama,available,"Combo Trọn Bộ CONAN ĐẶC SẮC: Conan và Tổ chức Áo Đen (Tập 1, 2) + Conan Tuyển Tập Đặc Biệt - FBI Selection + Conan Tuyển Tập Fan Bình Chọn (Tập 1, 2) + Conan Những Câu Chuyện Lãng Mạn (Tập 1,2,3) -...",350000,0,350000,0,5.0,34,"{'text': 'Đã bán 148', 'value': 148}",truyen_tranh,Bìa mềm
190322586,Truyện Tranh : Spy Room -  Lớp Học Điệp Viên  (Tập 4),,available,"Truyện Tranh : Spy Room - Lớp Học Điệp Viên (Tập 4)
ThaiHaBooks] Spy room – Lớp học điệp viên (tên gốc: Spy kyoushitsu) là series light novel độc đáo về thể loại điệp viên, tình báo vốn rất hiếm hoi...",103500,0,103500,0,0.0,0,"{'text': 'Đã bán 2', 'value': 2}",truyen_tranh,
190321260,Combo Những Chàng Trai Ở Lộc Phong Quán ( Tập 1- Tập 10)- tặng sổ tay xương rồng,Shimizu Yu,available,"Mô Tả Sản Phẩm



Những chàng trai ở Lộc Phong Quán – bốn dải màu của phúc lành và mĩ thực
Lộc Phong Quán là một tiệm cà phê kiểu truyền thống nằm trong một khu phố thưa thớt bóng người qua lại,...",444000,22200,421800,5,4.8,4,"{'text': 'Đã bán 8', 'value': 8}",truyen_tranh,Bìa mềm
187594269,Blue Period - Tập 1 - Tặng Kèm Bookmark Giấy 2 Mặt + Card Nhựa PVC,Yamaguchi Tsubasa,available,"KHI ĐAM MÊ THỨC TỈNH
Yataro Yaguchi là một học sinh xuất sắc nhưng có lối sống buông thả, không mục đích. Một ngày nọ, tận mắt chiêm ngưỡng bức tranh của một chị lớp trên ở CLB Mỹ thuật, Yataro hoàn...",48000,100,47900,0,5.0,833,"{'text': 'Đã bán 3487', 'value': 3487}",truyen_tranh,Bìa mềm
185071145,Sói Đầu Đàn Và Cún Nhỏ - Tập 2,Ma Vĩ,available,"Nếu tập 1 của bộ truyện tranh “Sói đầu đàn và cún nhỏ” là tổng hợp đầy đủ câu chuyện của đại ca Sói cùng bé Cún dưới lốt động vật, thì sang tập 2 này chúng mình sẽ được thỏa mãn trí tưởng tượng với...",135000,29000,106000,21,4.8,723,"{'text': 'Đã bán 2025', 'value': 2025}",truyen_tranh,Bìa mềm
186265452,My Hero Academia - Học Viện Siêu Anh Hùng Tập 29: Bakugo Katsuki: Trỗi Dậy [Tặng Kèm Bookmark Pro Hero],Kohei Horikoshi,available,Vì tên khổng lồ kia mà xung quanh tan hoang hết cả! Hắn cứ luôn miệng nói “đến chỗ chủ nhân” - là Shigaraki sao…? Không được! Nếu hắn tiến vào thành phố thì người dân sẽ không chống đỡ nổi! Cả các...,25000,1927,23073,8,4.8,533,"{'text': 'Đã bán 1525', 'value': 1525}",truyen_tranh,Bìa mềm
174215334,Ajin - Boxset Số 1 (Tập 1 - 6) - Tặng Kèm Bookmark 3D,Sakurai Gamon,available,"AJIN kể về một câu chuyện ly kỳ, hấp dẫn: 17 năm trước, lần đầu tiên một giống loài bất tử được phát hiện trên chiến trường ở châu Phi. Từ đó, người ta biết đến sự tồn tại của một chủng sinh vật bất...",265000,10000,255000,4,5.0,1,"{'text': 'Đã bán 4', 'value': 4}",truyen_tranh,Bìa mềm
189657049,One Piece - Tập 99,Eiichiro Oda,available,"Sau khi được đồng đội giúp cản chân lũ quản lí, cuối cùng Luffy đã lên được sân thượng và chạm mặt Kaido!? Trong khi đó, đám lâu la bên dưới sảnh trình diễn vẫn không ngừng thách chiến… Công cuộc...",22000,1320,20680,6,4.8,587,"{'text': 'Đã bán 1804', 'value': 1804}",truyen_tranh,Bìa mềm
170706973,Chú Thuật Hồi Chiến: Tập 1,Gege Akutami,available,"Itadori Yuji là một học sinh cấp Ba sở hữu năng lực thể chất phi thường. Hằng ngày cậu thường tới bệnh viện chăm người ông đang ốm liệt giường. Nhưng một ngày nọ, phong ấn của “chú vật” vốn ngủ yên...",28000,0,28000,0,5.0,3,"{'text': 'Đã bán 24', 'value': 24}",truyen_tranh,Bìa mềm
180851254,Chú Thuật Hồi Chiến Tập 3: Cá Con Và Trừng Phạt Ngược [Tặng Kèm Obi Và Thẻ Bo Góc Nhựa],Gege Akutami,available,"Todo Aoi và Zen’in Mai của trường chuyên chú thuật Kyoto xuất hiện trước mặt Fushiguro và Kugisaki! Todo hỏi Fushiguro thích kiểu con gái như thế nào và câu trả lời của cậu là
Mặt khác, Itadori vẫn...",30000,2501,27499,8,5.0,356,"{'text': 'Đã bán 1275', 'value': 1275}",truyen_tranh,Bìa mềm
175724125,Chú Thuật Hồi Chiến Tập 2: Chú Thai Đới Thiên [Tặng Kèm Obi Và Thẻ Bo Góc Nhựa],Gege Akutami,available,"Chú thai bất ngờ xuất hiện tại trại cải tạo thanh thiếu niên. Nhóm Itadori, học sinh năm Nhất trường chuyên chú thuật, được cử đi cứu những người đang mắc kẹt bên trong. Nhưng chú thai sau khi hóa...",30000,1800,28200,6,5.0,756,"{'text': 'Đã bán 2702', 'value': 2702}",truyen_tranh,Bìa mềm
185024355,Spy X Family 7,Tatsuya Endo,available,"Cuối cùng thì Twilight cũng tiếp xúc được với mục tiêu Desmond lần đầu tiên bằng cách xen vào cuộc gặp gỡ giữa hắn và cậu con trai thứ Damian!! Liệu thông qua cuộc trò chuyện, Twilight có tìm ra được...",25000,2031,22969,8,4.8,1156,"{'text': 'Đã bán 3138', 'value': 3138}",truyen_tranh,Bìa mềm
178099855,PRE ORDER- Chú Thuật Hồi Chiến - Tập 3 - Tặng Kèm Obi Và Card Nhựa,,available,"Thông tin sản phẩm
Dự Kiến Có Hàng: 20/05/2022
Ngày Dự Kiến Phát Hành: 20/05/2022
Độ Tuổi: 17+
Tên Nhà Cung Cấp: Nhà Xuất Bản Kim Đồng
Tác giả: Gege Akutami
NXB: NXB Kim Đồng
Ngôn Ngữ: Tiếng...",30000,1050,28950,4,5.0,345,"{'text': 'Đã bán 1197', 'value': 1197}",truyen_tranh,
174606926,Ký Sinh Thú Tập 10 - Bản Đặc Biệt,Hitoshi Iwaaki,available,"KÝ SINH THÚ là một bộ truyện đặc sắc. Truyện không đơn thuần chỉ để giải trí mà còn ẩn chứa giá trị nhân văn sâu sắc, từng bước bóc trần được bản chất ""con"" của loài người 
Izumi Shinichi là một...",99000,6930,92070,7,4.8,357,"{'text': 'Đã bán 1566', 'value': 1566}",truyen_tranh,Bìa mềm
174215331,Ajin - Boxset Số 2 (Tập 7 - 12) - Tặng Kèm Bookmark 3D,Sakurai Gamon,available,"AJIN kể về một câu chuyện ly kỳ, hấp dẫn: 17 năm trước, lần đầu tiên một giống loài bất tử được phát hiện trên chiến trường ở châu Phi. Từ đó, người ta biết đến sự tồn tại của một chủng sinh vật bất...",300000,21000,279000,7,4.6,261,"{'text': 'Đã bán 906', 'value': 906}",truyen_tranh,Bìa mềm
185445037,Dưới Hiên Nhà Bà Già Đọc Boyslove,Tsurutani Kaori,available,Bản Thường,58000,9860,48140,17,5.0,303,"{'text': 'Đã bán 1183', 'value': 1183}",truyen_tranh,Bìa mềm
186880504,Chú Thuật Hồi Chiến Tập 4: Ta Sẽ Diệt Trừ Ngươi [Tặng Kèm Obi Và Thẻ Bo Góc Nhựa],Gege Akutami,available,"Tại hiện trường án mạng do chú linh gây ra, Itadori đã gặp gỡ Junpei, cả hai tâm đầu ý hợp. Nhưng Junpei lại tôn sùng chú linh Mahito, thủ phạm của vụ án. Mahito lợi dụng Junpei, hòng li gián cậu và...",30000,1800,28200,6,5.0,270,"{'text': 'Đã bán 1108', 'value': 1108}",truyen_tranh,Bìa mềm
187009994,Lôi Thần Và Nhân Viên Văn Phòng (Tập 5),Rena,available,"Trong thời gian hòa nhập vào thế giới con người, Raiyu càng ngày càng nhận ra rằng anh và Omura có thật ít thời gian để ở bên nhau, vì vậy anh muốn tranh thủ thực hiện tất cả những điều mà cả hai...",66000,9900,56100,15,5.0,226,"{'text': 'Đã bán 779', 'value': 779}",truyen_tranh,Bìa mềm
171825201,Người Bà Tài Giỏi Vùng Saga – Tập 7,Yoshichi Shimada,available,"Người bà tài giỏi vùng Saga 7 – Vị khách ngoại quốc xuất hiện!
 
Cậu bé Akihiro vẫn đang sống cùng bà ngoại ở vùng ngoại ô Saga nghèo khó mà ấm áp tình người. Tuy rất nhớ người mẹ thân yêu ở...",41000,0,41000,0,0.0,0,,truyen_tranh,Bìa mềm
192124399,Blue Period Tập 2,Yamaguchi Tsubasa,available,"Yataro Yaguchi là một học sinh xuất sắc nhưng có lối sống buông thả, không mục đích. Một ngày nọ, tận mắt chiêm ngưỡng bức tranh của một chị lớp trên ở CLB Mỹ thuật, Yataro hoàn toàn bị hút hồn và...",48000,3360,44640,7,4.8,173,"{'text': 'Đã bán 923', 'value': 923}",truyen_tranh,Bìa mềm
184475053,Sa Vào Ánh Hào Quang Của Người – Tập 1,Uất Trì Kim Trạch,available,"Sa vào ánh hào quang của người 1 – Cuộc gặp gỡ của ba lê và Kinh kịch
“Xin hãy dạy tôi những điều ngoài ba lê.” …
Thư Vân, chàng trai sinh ra trong gia đình có truyền thống nghệ thuật ba lê và là một...",132000,300,131700,0,4.7,271,"{'text': 'Đã bán 726', 'value': 726}",truyen_tranh,Bìa mềm
185024279,PRE ORDER- Spy X Family - Tập 7 - Tặng Kèm Standee PVC,Tatsuya Endo,available,"
 
 
  Cuối cùng thì Twilight cũng tiếp xúc được với mục tiêu Desmond lần đầu tiên bằng cách xen vào cuộc gặp gỡ giữa hắn và cậu con trai thứ Damian!! Liệu thông qua cuộc trò chuyện, Twilight có tìm...",25000,600,24400,2,5.0,152,"{'text': 'Đã bán 855', 'value': 855}",truyen_tranh,
185435285,Nhóc Miko! Cô Bé Nhí Nhảnh 35,ONO Eriko,available,"Miko là cô nhóc lớp 6 vô cùng hoạt bát, khỏe khoắn. Ngày nào cũng rộn ràng, náo nhiệt cùng gia đình và bạn bè xung quanh
Trong những chuỗi ngày ấy, Mari rốt cuộc lại đóng vai thần tình yêu Cupid để...",20000,1400,18600,7,5.0,151,"{'text': 'Đã bán 933', 'value': 933}",truyen_tranh,Bìa mềm
181699644,Văn Phòng Thám Tử Quái Vật 05,Sho Aimoto,available,"Ở một vùng quê yên tĩnh nọ bỗng xảy ra sự kiện gia súc chết hàng loạt rất quái lạ. Dân làng thuê vị thám tử tâm linh Inugami từ Tokyo về để điều tra vụ việc. Trong quá trình điều tra, Inugami gặp một...",30000,1000,29000,3,5.0,154,"{'text': 'Đã bán 710', 'value': 710}",truyen_tranh,Bìa mềm
160548374,Yêu Thầm,Cát Xuyên Lưu,available,"Thời học sinh bạn đã bao giờ crush ai chưa?
Cậu bạn cùng bàn?
Lớp trưởng học giỏi?
Hay một anh khóa trên điển trai? Chắc hẳn rất nhiều người trong chúng ta đều từng có một thời thầm thương trộm nhớ...",165000,34000,131000,21,4.8,956,"{'text': 'Đã bán 2675', 'value': 2675}",truyen_tranh,Bìa mềm
156824933,Thám tử lừng danh Conan Tập 99,Gosho Aoyama,available,"Chuyện gì đã xảy ra trên cầu Vauxhall ở London…? Bí ẩn bao trùm hai mẹ con Mary và Masumi Sera sẽ được làm sáng tỏ trong chương phá giải vụ án đầu độc tại bữa tiệc của người mẫu!
Tìm đến nơi Kazami...",20000,1225,18775,6,5.0,1336,"{'text': 'Đã bán 5000+', 'value': 5077}",truyen_tranh,Bìa mềm
191655862,"[Combo Manga] Diệt Slime Suốt 300 Năm, Tôi Levelmax Lúc Nào Chẳng Hay (Tập 8 + 9)",Kisetsu Morita,available,"[Combo Manga] Diệt Slime Suốt 300 Năm, Tôi Levelmax Lúc Nào Chẳng Hay (Tập 8 + 9) "" tặng kèm:
- 01 booklet 48 trang (in màu, bonus truyện ngắn (đen trắng) cuối sách
- 02 postcard hai mặt bồi cứng...",184000,23000,161000,13,5.0,137,"{'text': 'Đã bán 551', 'value': 551}",truyen_tranh,Bìa mềm
175686980,PRE-ORDER - Chú Thuật Hồi Chiến - Tập 2 - Bản Thường - Tặng Kèm Obi Và Thẻ Bo Góc Nhựa,,available,"Ngày Dự Kiến Phát Hành: 22/04/2022
Độ Tuổi: 17+
Tên Nhà Cung Cấp: Nhà Xuất Bản Kim Đồng
Tác giả: Gege Akutami
Người Dịch: Vũ Trụ 19, Liên Vũ
NXB: Kim Đồng
Năm XB: 2022
Ngôn Ngữ: Tiếng Việt
Trọng...",30000,0,30000,0,5.0,221,"{'text': 'Đã bán 778', 'value': 778}",truyen_tranh,
185445030,Monster #8 - Tập 2,Naoya Matsumoto,available,Bản Thường,58000,9860,48140,17,5.0,554,"{'text': 'Đã bán 1848', 'value': 1848}",truyen_tranh,Bìa mềm
186265453,Komi - Nữ Thần Sợ Giao Tiếp Tập 10 [Tặng Kèm PVC Card],Tomohito Oda,available,"Sang tháng 3, năm lớp 10 với những người bạn thân cùng lớp chuẩn bị kết thúc. Lần đầu cảm thấy nỗi buồn của sự chia li, lần đầu biết đến cảm giác lạc lối chực trào. Thế rồi tháng 4 tới, Komi lên lớp...",25000,2051,22949,8,5.0,131,"{'text': 'Đã bán 458', 'value': 458}",truyen_tranh,Bìa mềm
