id,name,author_name,inventory_status,short_description,original_price,discount,price,discount_rate,rating_average,review_count,quantity_sold,type_book,book_cover
193213684,ĐẠI TỰ ĐIỂN HÁN VIỆT – HÁN NGỮ CỔ VÀ HIỆN ĐẠI,,available,"ĐẠI TỰ ĐIỂN HÁN VIỆT – HÁN NGỮ CỔ VÀ HIỆN ĐẠI
“ĐẠI TỰ ĐIỂN HÁN VIỆT do nhà nghiên cứu Trần Văn Chánh biên soạn là một công trình nghiên cứu công phu, nghiêm túc, có nội dung cập nhật, phong phú và...",1950000,284000,1666000,15,0.0,0,,tu_dien,Bìa cứng
84637400,"Combo 4 Cuốn Từ Điển Không Thể Thiếu Dành Cho Học Sinh: Từ Điển Tiếng Việt, Từ Điển Đồng Nghĩa Trái Nghĩa, Từ Điển Từ Láy, Từ Điển Chính Tả",Ngọc Lam,available,"Combo 4 Cuốn Từ Điển Không Thể Thiếu Dành Cho Học Sinh: Từ Điển Tiếng Việt
Combo 4 Cuốn Từ Điển Không Thể Thiếu Dành Cho Học Sinh: Từ Điển Đồng Nghĩa Trái Nghĩa
Combo 4 Cuốn Từ Điển Không Thể Thiếu...",260000,80000,180000,31,4.8,30,"{'text': 'Đã bán 263', 'value': 263}",tu_dien,Bìa mềm
527206,Từ Điển Chính Tả Tiếng Việt Dành Cho Học Sinh,,available,"Từ Điển Chính Tả Tiếng Việt Dành Cho Học Sinh

Biên soạn chọn lọc một cách đầy đủ, ngắn gọn, súc tích nhất từ nhiều từ điển khác nhau
Tra cứu đơn giản, dễ tìm; sắp xếp từ một cách khoa học
Giải...",60000,20000,40000,33,4.0,11,"{'text': 'Đã bán 50', 'value': 50}",tu_dien,Bìa mềm
72050476,Từ Điển Tiếng Việt Dành Cho Học Sinh (2020),Viện Hàn Lâm Khoa Học Xã Hội Việt Nam Viện Ngôn Ngữ Học,available,"Cuốn sách biên soạn ngắn gọn theo tiêu chí chọn lọc những từ ngữ thông dụng nhất, định nghĩa đơn giản, dễ hiểu, cô đọng, được tham khảo từ nhiều thời kỳ khác nhau và hướng tới đối tượng học sinh...",80000,20000,60000,25,4.5,14,"{'text': 'Đã bán 76', 'value': 76}",tu_dien,
54614791,Từ Điển Tâm Lý - Tính Cách Và Cảm Xúc Đến Từ Đâu ?,Shozo Shibuya,available,"""“Tính cách” và “cảm xúc” là những từ ngữ vô cùng quen thuộc, nhưng để bóc tách và phân tích từng loại tính cách và cảm xúc thì không phải chuyện dễ dàng gì.
Khi giao tiếp với người khác, chúng ta...",128000,37000,91000,29,4.8,416,"{'text': 'Đã bán 2557', 'value': 2557}",tu_dien,Bìa mềm
138269668,Từ Điển Tiếng Việt (Hoàng Phê)(Tái Bản),GS. Hoàng Phê,available,"Trên thực tế, cuốn sách Từ điển Tiếng Việt (2021) Hoàng Phê của Viện Ngôn ngữ học đã là nguồn tra cứu, trích dẫn đáng tin cậy của hầu hết các bài viết, sách chuyên khảo, đặc biệt là các luận án tiến...",495000,60000,435000,12,4.8,154,"{'text': 'Đã bán 641', 'value': 641}",tu_dien,Bìa cứng
52709770,Từ điển Anh Việt bìa đỏ cứng Tái bản mới nhất - Sách học từ vựng Tiếng Anh Học nhanh Nhớ lâu  Giấy nhớ PS,.,available,"




 











 Bạn là người đã có nền tảng cơ bản về ngữ âm, ngữ pháp nhưng vốn từ vựng lại ít?Bạn là người tự tin trong giao tiếp tiếng anh nhưng đôi khi không thể truyền tải hết ý của mình vì...",298000,104300,193700,35,4.8,102,"{'text': 'Đã bán 352', 'value': 352}",tu_dien,
11662825,Từ Điển Oxford Anh Việt 350.000 Từ (Hộp Cứng Xanh),The Windy,available,"Từ điển Oxford Anh Việt
Từ điển Oxford Anh – Việt do công ty cổ phần sách MCBooks liên kết xuất bản và phát hành tại Việt Nam hiện đang được bán rất chạy trên thị trường cả nước, được đánh giá là...",192000,0,192000,0,0.0,0,"{'text': 'Đã bán 5', 'value': 5}",tu_dien,Bìa cứng
65008052,Từ Điển Anh - Anh - Việt,The Windy,available,"Thưa quý vị độc giả! Quý vị đã có một lựa chọn đúng đắn, vì quý vị đang cầm trên tay một công cụ hữu ích để tra cứu, để tìm hiểu và học hỏi ngôn ngữ Anh, văn hóa Anh, văn học Anh. Đây là cuốn từ điển...",298000,104300,193700,35,4.8,61,"{'text': 'Đã bán 248', 'value': 248}",tu_dien,Bìa cứng
53390523,Hán Việt Tự Điển (Bìa Cứng Tái Bản Lần 1-2020),Thiều Chửu,available,"Hán Việt Tự Điển (Tái Bản)

Cuốn sách bao gồm nhiều nội dung hấp dẫn như:
- Chữ giản thể và dị thể.
- Phiên âm Bắc Kinh.
- Bảng tra chữ theo âm Hán- Việt.
- Bảng tra chữ theo âm Bắc Kinh.

Với nội...",200000,40000,160000,20,4.6,5,"{'text': 'Đã bán 13', 'value': 13}",tu_dien,Bìa cứng
28449505,Từ Điển Oxford Anh - Việt (Hơn 350.000 Từ) (Bìa Mềm Màu Trắng),,available,"Từ Điển Anh - Việt

Đây là cuốn từ điển được biên dịch dựa theo cuốn từ điển Oxford là một công trình liên tục được đổi mới và công bố bởi một nhà xuất bản uy tín trên thế giới với nhiều ấn phẩm khác...",198000,69300,128700,35,4.8,5,"{'text': 'Đã bán 15', 'value': 15}",tu_dien,Bìa mềm
133573582,Hán Việt Tự Điển (Vàng),Thiều Chửu,available,"Về hình thức xếp chữ lại toàn bộ nội dung sách cho được rõ rang , dễ tra cứu , đảm bảo độ chính xác cao của loại sách tự điển , trình bày lại các bảng tra cho thật tiện dụng . Riêng phần chữ Hán ,...",175000,54000,121000,31,4.7,30,"{'text': 'Đã bán 112', 'value': 112}",tu_dien,Bìa cứng
475672,Từ Điển Nga - Việt,PGS.Tiến sĩ Nguyễn Trọng Báu,available,"Từ Điển Nga - Việt
Cuốn từ điển Nga- Việt này dành cho đối tượng là người Việt học và tra cứu tiếng Nga: học sinh, sinh viên, người tự học tiếng Nga hoặc học có hướng dẫn. Với quan điểm đó, mục từ...",165000,1200,163800,1,4.8,44,"{'text': 'Đã bán 550', 'value': 550}",tu_dien,Bìa cứng
